Model,MAE (log),RMSE (log),R²,MAPE (%) (log),Spearman ρ,Spearman p,Tail-MAE (top-5%),Tail-R² (top-5%),MAE ($M)
XGBoost,1.4177092656206447,1.823063250462547,0.31725028668821154,18.25,0.5184,0.0,3.0029,-4.0154,1.3118
RandomForest,1.478267539115512,1.8933206625103678,0.2636125093449265,18.94,0.4737,0.0,3.2075,-4.5601,1.3601
FT-Transformer,1.4767733812332153,1.9658132174913878,0.20614248514175415,17.709999084472656,0.33,0.0,4.6378,-9.3103,1.3953
TabNet (approx.),1.4197319746017456,1.8492310085623604,0.2975096106529236,17.8799991607666,0.4728,0.0,3.6757,-5.8758,8.1982
Text-only ablation,1.2682860057570715,1.7169970189788817,0.39438428569603334,15.8,0.6006,0.0,3.2859,-4.7041,1.3927
Concat ablation,1.2592597307307978,1.7013483036606476,0.4053731466061047,15.74,0.6074,0.0,3.1792,-4.4052,1.3894
ClimateNarrator (Fusion),1.120301604270935,1.614338009152417,0.4646386504173279,13.600000381469727,0.6755,0.0,2.9186,-4.0465,1.3929
